time,lat,lon,alt,prev_lat,prev_lon,prev_alt,z0,z1,z2,r0,r1,r2,offset_r,offset_f,offset_u,dEast,dNorth,dUp,multipathMultiplier,along_track_stretch,temp,last_odo,last_odo_valid,wz_avg,hacc,decay_factor,speed,yaw,yaw_avg,filtered_speed_diff,stretch_max,maxScalar
148.400754,37.398801700,-121.979358700,-21.358999252,37.398801466,-121.979357068,-21.427451,-0.054353,-0.133414,-0.073322,0.810000,0.810000,0.381183,0.000000,0.000000,0.000000,-0.433867,0.033295,-0.035999,1.000000,1.000000,0.900000,0.000000,0,0.255537,0.385000,0.050000,1.763000,-1.507122,-101.514178,-0.009494,0.000000,1.000000
148.650751,37.398801900,-121.979363600,-21.385000229,37.398801739,-121.979362042,-21.448297,-0.044745,-0.129215,-0.067878,0.810000,0.810000,0.398161,0.000000,0.000000,0.000000,-0.433867,0.022197,-0.026001,1.000000,1.000000,0.900000,0.000000,0,0.039559,0.385000,0.050000,1.732000,-1.507523,-101.364693,-0.009240,0.000000,1.000000
148.910746,37.398802200,-121.979368400,-21.399999619,37.398802013,-121.979367246,-21.478523,-0.040276,-0.093914,-0.081982,0.810000,0.810000,0.396900,0.000000,0.000000,0.000000,-0.425013,0.033295,-0.014999,1.000000,1.000000,0.900000,0.000000,0,0.058821,0.386000,0.050000,1.713000,-1.506639,-101.214736,-0.009215,0.000000,1.000000
149.160743,37.398802500,-121.979373000,-21.413000107,37.398802287,-121.979372217,-21.511546,-0.036466,-0.061504,-0.100924,0.810000,0.810000,0.398161,0.000000,0.000000,0.000000,-0.407304,0.033295,-0.013000,1.000000,1.000000,0.900000,0.000000,0,0.416591,0.386000,0.050000,1.651000,-1.505414,-101.064158,-0.009334,0.000000,1.000000
149.400756,37.398802700,-121.979377700,-21.436000824,37.398802551,-121.979376896,-21.543943,-0.029668,-0.065243,-0.110364,0.810000,0.810000,0.379974,0.000000,0.000000,0.000000,-0.416158,0.022197,-0.023001,1.000000,1.000000,0.900000,0.000000,0,0.056895,0.386000,0.050000,1.688000,-1.505182,-100.913340,-0.009529,0.000000,1.000000
149.650753,37.398803000,-121.979382300,-21.462999344,37.398802823,-121.979381773,-21.579667,-0.028059,-0.040667,-0.118298,0.810000,0.810000,0.395641,0.000000,0.000000,0.000000,-0.407304,0.033295,-0.026999,1.000000,1.000000,0.900000,0.000000,0,0.165631,0.386000,0.050000,1.630000,-1.503583,-100.761731,-0.009292,0.000000,1.000000
149.910748,37.398803200,-121.979386900,-21.448999405,37.398803105,-121.979386756,-21.618367,-0.012677,-0.009955,-0.169841,0.810000,0.810000,0.410317,0.000000,0.000000,0.000000,-0.407304,0.022197,0.014000,1.000000,1.000000,0.900000,0.000000,0,0.089997,0.386000,0.050000,1.687000,-1.504193,-100.610285,-0.010060,0.000000,1.000000
150.160745,37.398803400,-121.979391500,-21.500000000,37.398803369,-121.979391483,-21.656651,-0.003612,-0.000650,-0.156712,0.810000,0.810000,0.394384,0.000000,0.000000,0.000000,-0.407304,0.022197,-0.051001,1.000000,1.000000,0.900000,0.000000,0,0.160729,0.385000,0.050000,1.632000,-1.502583,-100.457978,-0.009899,0.000000,1.000000
150.410742,37.398803700,-121.979395900,-21.513000488,37.398803639,-121.979396382,-21.706043,0.000991,0.043144,-0.191525,0.810000,0.810000,0.409011,0.000000,0.000000,0.000000,-0.389595,0.033295,-0.013000,1.000000,1.000000,0.900000,0.000000,0,0.264287,0.385000,0.050000,1.596000,-1.502404,-100.305549,-0.010266,0.000000,1.000000
150.650755,37.398803900,-121.979400300,-21.552000046,37.398803908,-121.979401007,-21.750697,0.011871,0.060836,-0.196449,0.810000,0.810000,0.376358,0.000000,0.000000,0.000000,-0.389595,0.022197,-0.039000,1.000000,1.000000,0.900000,0.000000,0,0.959533,0.385000,0.050000,1.586000,-1.498747,-100.151310,-0.010513,0.000000,1.000000
